NAICS2022|DESCRIPTION
56162|This industry comprises establishments engaged in (1) selling security systems, such as burglar and fire alarms and locking devices, along with installation, repair, or monitoring services or (2) remote monitoring of electronic security alarm systems.<br><br>Cross-References. Establishments primarily engaged in--
561621|This U.S. industry comprises establishments primarily engaged in (1) selling security alarm systems, such as burglar and fire alarms, along with installation, repair, or monitoring services or (2) remote monitoring of electronic security alarm systems.<br><br>Cross-References. Establishments primarily engaged in--
561622|This U.S. industry comprises establishments primarily engaged in (1) selling mechanical or electronic locking devices, safes, and security vaults, along with installation, repair, rebuilding, or adjusting services or (2) installing, repairing, rebuilding, and adjusting mechanical or electronic locking devices, safes, and security vaults.<br><br>Cross-References. Establishments primarily engaged in--
5617|This industry group comprises establishments primarily engaged in one of the following: (1) exterminating and pest control services; (2) janitorial services; (3) landscaping services; (4) carpet and upholstery cleaning services; or (5) other services to buildings and dwellings.
56171|See industry description for 561710.
561710|This industry comprises establishments primarily engaged in exterminating and controlling birds, mosquitoes, rodents, termites, and other insects and pests (except for crop production and forestry production).  Establishments providing fumigation services are included in this industry.<br><br>Cross-References.
56172|See industry description for 561720.
561720|This industry comprises establishments primarily engaged in cleaning building interiors, interiors of transportation equipment (e.g., aircraft, rail cars, ships), and/or windows.<br><br>Illustrative Examples:<br><br>Custodial services<br>Service station cleaning and degreasing services<br>Housekeeping (i.e., cleaning) services<br>Washroom sanitation services<br>Maid (i.e., cleaning) services<br><br>Cross-References. Establishments primarily engaged in--
56173|See industry description for 561730.
561730|This industry comprises (1) establishments primarily engaged in providing landscape care and maintenance services and/or installing trees, shrubs, plants, lawns, or gardens and (2) establishments primarily engaged in providing these services along with the design of landscape plans and/or the construction (i.e., installation) of walkways, retaining walls, decks, fences, ponds, and similar structures.<br><br>Cross-References. Establishments primarily engaged in--
56174|See industry description for 561740.
561740|This industry comprises establishments primarily engaged in cleaning and dyeing used rugs, carpets, and upholstery.<br><br>Cross-References. Establishments primarily engaged in--
56179|See industry description for 561790.
561790|This industry comprises establishments primarily engaged in providing services to buildings and dwellings (except exterminating and pest control; janitorial; landscaping care and maintenance; and carpet and upholstery cleaning).<br><br>Illustrative Examples:<br><br>Building exterior cleaning services (except sandblasting, window cleaning)<br>Swimming pool cleaning and maintenance services<br>Chimney cleaning services<br>Ventilation duct cleaning services<br>Drain or gutter cleaning services<br><br>Cross-References. Establishments primarily engaged in--
5619|This industry group comprises establishments primarily engaged in providing day-to-day business and other organizational support services (except office administrative services; facilities support services; employment services; business support services; travel arrangement and reservation services; security and investigation services; and services to buildings and dwellings).
56191|See industry description for 561910.
561910|This industry comprises establishments primarily engaged in packaging client-owned materials.  The services may include labeling and/or imprinting the package.<br><br>Illustrative Examples:<br><br>Apparel and textile folding and packaging services<br>Kit assembling and packaging services<br>Blister packaging services<br>Shrink wrapping services<br>Gift wrapping services<br><br>Cross-References. Establishments primarily engaged in--
56192|See industry description for 561920.
561920|This industry comprises establishments primarily engaged in organizing, promoting, and/or managing events, such as business and trade shows, conventions, conferences, and meetings (whether or not they manage and provide the staff to operate the facilities in which these events take place).<br><br>Cross-References.
56199|See industry description for 561990.
561990|This industry comprises establishments primarily engaged in providing day-to-day business and other organizational support services (except office administrative services, facilities support services, employment services, business support services, travel arrangement and reservation services, security and investigation services, services to buildings and other structures, packaging and labeling services, and convention and trade show organizing services).<br><br>Illustrative Examples:<br><br>Bartering services<br>Flagging (i.e., traffic control) services<br>Bottle exchanges<br>Float decorating services<br>Inventory taking services<br>Contract meter reading services<br>Lumber grading services<br>Diving services on a contract or fee basis<br><br>Cross-References. Establishments primarily engaged in--
562|Industries in the Waste Management and Remediation Services subsector group establishments engaged in the collection, treatment, and disposal of waste materials.  This includes establishments engaged in local hauling of waste materials; operating materials recovery facilities (i.e., those that sort recyclable materials from the trash stream); providing remediation services (i.e., those that provide for the cleanup of contaminated buildings, mine sites, soil, or ground water); and providing septic pumping and other miscellaneous waste management services.  There are three industry groups within the subsector that separate these activities into waste collection, waste treatment and disposal, and remediation and other waste management.<br><br>Excluded from this subsector are establishments primarily engaged in collecting, treating, and disposing waste through sewer systems or sewage treatment facilities that are classified in Industry 22132, Sewage Treatment Facilities, and establishments primarily engaged in long-distance hauling of waste materials that are classified in Industry 48423, Specialized Freight (except Used Goods) Trucking, Long-Distance.  Also, there are some activities that appear to be related to waste management, but that are not included in this subsector.  For example, establishments primarily engaged in providing waste management consulting services are classified in Industry 54162, Environmental Consulting Services.
5621|
56211|This industry comprises establishments primarily engaged in (1) collecting and/or hauling hazardous waste, nonhazardous waste, and/or recyclable materials within a local area and/or (2) operating hazardous or nonhazardous waste transfer stations.  Hazardous waste collection establishments may be responsible for the identification, treatment, packaging, and labeling of waste for the purposes of transport.<br><br>Cross-References. Establishments primarily engaged in--
562111|This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) collecting and/or hauling nonhazardous solid waste (i.e., garbage) within a local area; (2) operating nonhazardous solid waste transfer stations; and (3) collecting and/or hauling mixed recyclable materials within a local area.<br><br>Cross-References. Establishments primarily engaged in--
562112|This U.S. industry comprises establishments primarily engaged in collecting and/or hauling hazardous waste within a local area and/or operating hazardous waste transfer stations.  Hazardous waste collection establishments may be responsible for the identification, treatment, packaging, and labeling of waste for the purposes of transport.<br><br>Cross-References. Establishments primarily engaged in--
562119|This U.S. industry comprises establishments primarily engaged in collecting and/or hauling waste (except nonhazardous solid waste and hazardous waste) within a local area.  Establishments engaged in brush or rubble removal services are included in this industry.<br><br>Cross-References. Establishments primarily engaged in--
5622|
56221|This industry comprises establishments primarily engaged in (1) operating waste treatment or disposal facilities (except sewer systems or sewage treatment facilities) or (2) the combined activity of collecting and/or hauling of waste materials within a local area and operating waste treatment or disposal facilities.  Waste combustors or incinerators (including those that may produce byproducts, such as electricity), solid waste landfills, and compost dumps are included in this industry.<br><br>Cross-References. Establishments primarily engaged in--
562211|This U.S. industry comprises establishments primarily engaged in (1) operating treatment and/or disposal facilities for hazardous waste or (2) the combined activity of collecting and/or hauling of hazardous waste materials within a local area and operating treatment or disposal facilities for hazardous waste.<br><br>Cross-References. Establishments primarily engaged in--
562212|This U.S. industry comprises establishments primarily engaged in (1) operating landfills for the disposal of nonhazardous solid waste or (2) the combined activity of collecting and/or hauling nonhazardous waste materials within a local area and operating landfills for the disposal of nonhazardous solid waste.  These establishments may produce byproducts, such as methane.<br><br>Cross-References. Establishments primarily engaged in--
562213|This U.S. industry comprises establishments primarily engaged in operating combustors and incinerators for the disposal of nonhazardous solid waste.  These establishments may produce byproducts, such as electricity and steam.<br><br>Cross-References. Establishments primarily engaged in--
562219|This U.S. industry comprises establishments primarily engaged in (1) operating nonhazardous waste treatment and disposal facilities (except landfills, combustors, incinerators, and sewer systems or sewage treatment facilities) or (2) the combined activity of collecting and/or hauling of nonhazardous waste materials within a local area and operating waste treatment or disposal facilities (except landfills, combustors, incinerators, and sewer systems or sewage treatment facilities).  Compost dumps are included in this industry.<br><br>Cross-References. Establishments primarily engaged in--
5629|This industry group comprises establishments primarily engaged in remediation and other waste management services (except waste collection, waste treatment and disposal, and waste management consulting services).
56291|See industry description for 562910.
562910|This industry comprises establishments primarily engaged in one or more of the following: (1) remediation and cleanup of contaminated buildings, mine sites, soil, or ground water; (2) integrated mine reclamation activities, including demolition, soil remediation, waste water treatment, hazardous material removal, contouring land, and revegetation; and (3) asbestos, lead paint, and other toxic material abatement.<br><br>Cross-References. Establishments primarily engaged in--
56292|See industry description for 562920.
562920|This industry comprises establishments primarily engaged in (1) operating facilities for separating and sorting recyclable materials from nonhazardous waste streams (i.e., garbage) and/or (2) operating facilities where commingled recyclable materials, such as paper, plastics, used beverage cans, and metals, are sorted into distinct categories.<br><br>Cross-References.
56299|This industry comprises establishments primarily engaged in waste management services (except waste collection, waste treatment and disposal, remediation, operation of materials recovery facilities, and waste management consulting services).<br><br>Illustrative Examples:<br><br>Beach cleaning and maintenance services<br>Pumping (i.e., cleaning) cesspools, portable toilets, or septic tanks<br>Cesspool cleaning services<br>Sewer cleaning and rodding services<br>Portable toilet renting and/or servicing<br>Sewer or storm basin cleanout services<br><br>Cross-References. Establishments primarily engaged in--
562991|This U.S. industry comprises establishments primarily engaged in (1) pumping (i.e., cleaning) septic tanks and cesspools and/or (2) renting and/or servicing portable toilets.<br><br>Cross-References. Establishments primarily engaged in--
562998|This U.S. industry comprises establishments primarily engaged in providing waste management services (except waste collection, waste treatment and disposal, remediation, operation of materials recovery facilities, septic tank pumping and related services, and waste management consulting services).<br><br>Illustrative Examples:<br><br>Beach cleaning and maintenance services<br>Sewer or storm basin cleanout services<br>Catch basin cleaning services<br>Tank cleaning and disposal services, commercial or industrial<br>Sewer cleaning and rodding services<br><br>Cross-References. Establishments primarily engaged in--
61|The Sector as a Whole<br><br>The Educational Services sector comprises establishments that provide instruction and training in a wide variety of subjects.  This instruction and training is provided by specialized establishments, such as schools, colleges, universities, and training centers.  These establishments may be privately owned and operated for profit or not for profit, or they may be publicly owned and operated.  They may also offer food and/or accommodation services to their students.<br><br>Educational services are usually delivered by teachers or instructors that explain, tell, demonstrate, supervise, and direct learning.  Instruction is imparted in diverse settings, such as educational institutions, the workplace, or the home, and through diverse means, such as correspondence, television, the Internet, or other electronic and distance-learning methods.  The training provided by these establishments may include the use of simulators and simulation methods.  It can be adapted to the particular needs of the students, for example sign language can replace verbal language for teaching students with hearing impairments.  All industries in the sector share this commonality of process, namely, labor inputs of instructors with the requisite subject matter expertise and teaching ability.
611|Industries in the Educational Services subsector provide instruction and training in a wide variety of subjects.  The instruction and training is provided by specialized establishments, such as schools, colleges, universities, and training centers.<br><br>The subsector is structured according to level and type of educational services.  Elementary and secondary schools, junior colleges, and colleges, universities, and professional schools correspond to a recognized series of formal levels of education designated by diplomas, associate degrees (including equivalent certificates), and degrees.  The remaining industry groups are based more on the type of instruction or training offered, and the levels are not always as formally defined.  The establishments are often highly specialized, many offering instruction in a very limited subject matter, for example ski lessons or one specific computer software application.  Within the subsector, the level and types of training that are required of the instructors and teachers vary depending on the industry.<br><br>Establishments that manage schools and other educational establishments on a contractual basis are classified in this subsector if they both manage the operation and provide the operating staff.  Such establishments are classified in the Educational Services subsector based on the type of facility managed and operated.<br><br>Excluded from this subsector are establishments primarily engaged in publishing educational software or other educational materials without providing instruction.  These establishments are classified in Subsector 513, Publishing Industries.  Establishments that manage schools and other educational establishments on a contract or fee basis without providing the operating staff are classified in Subsector 561, Administrative and Support Services.  Establishments primarily engaged in providing vocational rehabilitation services and establishments primarily engaged in providing child care services are classified in Subsector 624, Social Assistance.
6111|
61111|See industry description for 611110.
611110|This industry comprises establishments primarily engaged in furnishing academic courses and associated course work that comprise a basic preparatory education.  A basic preparatory education ordinarily constitutes kindergarten through 12th grade.  This industry includes school boards and school districts.<br><br>Illustrative Examples:<br><br>Elementary schools<br>Parochial schools, elementary or secondary<br>High schools<br>Primary schools<br>Charter schools<br>Kindergartens<br>Military academies, elementary or secondary<br>Schools for the physically disabled, elementary or secondary<br><br>Cross-References.
6112|
61121|See industry description for 611210.
611210|This industry comprises establishments primarily engaged in furnishing academic, or academic and technical, courses and granting associate degrees, certificates, or diplomas below the baccalaureate level.  The requirement for admission to an associate or equivalent degree program is at least a high school diploma or equivalent general academic training.  Instruction may be provided in diverse settings, such as the establishment's or client's training facilities, educational institutions, the workplace, or the home, and through diverse means, such as correspondence, television, the Internet, or other electronic and distance-learning methods.  The training provided by these establishments may include the use of simulators and simulation methods.<br><br>Cross-References.
6113|
61131|See industry description for 611310.
611310|This industry comprises establishments primarily engaged in furnishing academic courses and granting degrees at baccalaureate or graduate levels.  The requirement for admission is at least a high school diploma or equivalent general academic training.  Instruction may be provided in diverse settings, such as the establishment's or client's training facilities, educational institutions, the workplace, or the home, and through diverse means, such as correspondence, television, the Internet, or other electronic and distance-learning methods.  The training provided by these establishments may include the use of simulators and simulation methods.<br><br>Illustrative Examples:<br><br>Colleges (except junior colleges)<br>Theological seminaries offering baccalaureate or graduate degrees<br>Military academies, college-level<br>Universities<br>Professional schools (e.g., business administration, dental, law, medical)<br><br>Cross-References.
6114|This industry group comprises establishments primarily engaged in one of the following: (1) offering courses in office procedures and secretarial and stenographic skills and may offer courses in basic office skills, such as word processing; (2) conducting computer training (except computer repair); or (3) offering an array of short duration courses and seminars for management and professional development.  Instruction may be provided in diverse settings, such as the establishment's or client's training facilities, educational institutions, the workplace, or the home, and through diverse means, such as correspondence, television, the Internet, or other electronic and distance-learning methods.  The training provided by these establishments may include the use of simulators and simulation methods.
61141|See industry description for 611410.
611410|This industry comprises establishments primarily engaged in offering courses in office procedures and secretarial and stenographic skills and may offer courses in basic office skills, such as word processing.  In addition, these establishments may offer such classes as office machine operation, reception, communications, and other skills designed for individuals pursuing a clerical or secretarial career.  Instruction may be provided in diverse settings, such as the establishment's or client's training facilities, educational institutions, the workplace, or the home, and through diverse means, such as correspondence, television, the Internet, or other electronic and distance-learning methods.  The training provided by these establishments may include the use of simulators and simulation methods.<br><br>Cross-References. Establishments primarily engaged in--
61142|See industry description for 611420.
611420|This industry comprises establishments primarily engaged in conducting computer training (except computer repair), such as instruction in computer programming, software applications, computerized business systems, computer electronics technology, computer operations, and local area network management.  Instruction may be provided in diverse settings, such as the establishment's or client's training facilities, educational institutions, the workplace, or the home, and through diverse means, such as correspondence, television, the Internet, or other electronic and distance-learning methods.  The training provided by these establishments may include the use of simulators and simulation methods.<br><br>Cross-References. Establishments primarily engaged in--
61143|See industry description for 611430.
611430|This industry comprises establishments primarily engaged in offering an array of short duration courses and seminars for management and professional development.  Training for career development may be provided directly to individuals or through employers' training programs, and courses may be customized or modified to meet the special needs of customers.  Instruction may be provided in diverse settings, such as the establishment's or client's training facilities, educational institutions, the workplace, or the home, and through diverse means, such as correspondence, television, the Internet, or other electronic and distance-learning methods.  The training provided by these establishments may include the use of simulators and simulation methods.<br><br>Cross-References. Establishments primarily engaged in--
6115|
61151|This industry comprises establishments primarily engaged in offering vocational and technical training in a variety of technical subjects and trades.  The training often leads to job-specific certification.  Instruction may be provided in diverse settings, such as the establishment's or client's training facilities, educational institutions, the workplace, or the home, and through diverse means, such as correspondence, television, the Internet, or other electronic and distance-learning methods.  The training provided by these establishments may include the use of simulators and simulation methods.<br><br>Illustrative Examples:<br><br>Apprenticeship training programs<br>Graphic arts schools<br>Aviation and flight training schools<br>Modeling schools<br>Computer repair training<br>Nursing schools (except academic)<br>Cosmetology schools<br>Real estate schools<br>Electronic equipment repair training<br>Truck driving schools<br><br>Cross-References. Establishments primarily engaged in--
611511|This U.S. industry comprises establishments primarily engaged in offering training in barbering, hair styling, or the cosmetic arts, such as makeup or skin care.  These schools provide job-specific certification.
611512|This U.S. industry comprises establishments primarily engaged in offering aviation and flight training.  These establishments may offer vocational training, recreational training, or both.<br><br>Cross-References. Establishments primarily engaged in--
611513|This U.S. industry comprises establishments primarily engaged in offering apprenticeship training programs.  These programs involve applied training as well as course work.<br><br>Cross-References.
611519|This U.S. industry comprises establishments primarily engaged in offering job or career vocational or technical courses (except cosmetology and barber training, aviation and flight training, and apprenticeship training).  The curriculums offered by these schools are highly structured and specialized and lead to job-specific certification.<br><br>Illustrative Examples:<br><br>Bartending schools<br>Modeling schools<br>Broadcasting schools<br>Real estate schools<br>Computer repair training<br>Truck driving schools<br>Graphic arts schools<br>Specialized military training (except flight instruction, academies, and basic training)<br><br>Cross-References. Establishments primarily engaged in--
6116|This industry group comprises establishments primarily engaged in offering or providing instruction (except academic schools, colleges, and universities; business, computer, and management instruction; and technical and trade instruction).  Instruction may be provided in diverse settings, such as the establishment's or client's training facilities, educational institutions, the workplace, or the home, and through diverse means, such as correspondence, television, the Internet, or other electronic and distance-learning methods.  The training provided by these establishments may include the use of simulators and simulation methods.
61161|See industry description for 611610.
611610|This industry comprises establishments primarily engaged in offering instruction in the arts, including dance, art, drama, and music.<br><br>Illustrative Examples:<br><br>Art (except commercial and graphic) instruction<br>Music instruction (e.g., piano, guitar)<br>Dance instruction<br>Music schools (except academic)<br>Dance studios<br>Performing arts schools (except academic)<br>Drama schools (except academic)<br>Photography schools (except commercial photography)<br>Fine arts schools (except academic)<br><br>Cross-References.
61162|See industry description for 611620.
611620|This industry comprises establishments, such as camps and schools, primarily engaged in offering instruction in athletic activities.  Overnight and day sports instruction camps are included in this industry.<br><br>Illustrative Examples:<br><br>Camps, sports instruction<br>Professional sports instructors (i.e., not participating in sporting events)<br>Cheerleading instruction<br>Riding instruction academies or schools<br>Gymnastics instruction<br>Sports (e.g., baseball, basketball, football, golf) instruction<br>Martial arts instruction, camps or schools<br>Swimming instruction<br><br>Cross-References.
61163|See industry description for 611630.
611630|This industry comprises establishments primarily engaged in offering foreign language instruction (including sign language).  These establishments are designed to offer language instruction ranging from conversational skills for personal enrichment to intensive training courses for career or educational opportunities.<br><br>Cross-References. Establishments primarily engaged in--
61169|This industry comprises establishments primarily engaged in offering instruction (except academic schools, colleges, and universities; business, computer, and management instruction; technical and trade instruction; and fine arts, sports, recreation, and language instruction).<br><br>Illustrative Examples:<br><br>Academic tutoring services<br>Public speaking training<br>Automobile driving schools<br>Speed reading instruction<br>Exam preparation services<br><br>Cross-References. Establishments primarily engaged in--
611691|This U.S. industry comprises establishments primarily engaged in offering preparation for standardized examinations and/or academic tutoring services.<br><br>Illustrative Examples:<br><br>Academic tutoring services<br>Learning centers offering remedial courses<br>College board preparation centers<br>Professional examination review instruction
611692|This U.S. industry comprises establishments primarily engaged in offering automobile driving instruction.<br><br>Cross-References.
611699|This U.S. industry comprises establishments primarily engaged in offering instruction (except academic schools, colleges, and universities; business, computer, and management instruction; technical and trade instruction; and fine arts, sports, recreation, language, exam preparation, tutoring, and automobile driving instruction).<br><br>Illustrative Examples:<br><br>Public speaking training<br>Survival training<br>Speed reading instruction<br>Yoga instruction, camps or schools<br><br>Cross-References. Establishments primarily engaged in--
6117|
61171|See industry description for 611710.
611710|This industry comprises establishments primarily engaged in providing non-instructional services that support educational processes or systems.<br><br>Illustrative Examples:<br><br>Educational consultants<br>Educational testing services<br>Educational guidance counseling services<br>Student exchange programs<br>Educational testing evaluation services<br><br>Cross-References. Establishments primarily engaged in--
62|The Sector as a Whole<br><br>The Health Care and Social Assistance sector comprises establishments providing health care and social assistance for individuals.  The sector includes both health care and social assistance because it is sometimes difficult to distinguish between the boundaries of these two activities.  The industries in this sector are arranged on a continuum starting with establishments providing medical care exclusively, continuing with those providing health care and social assistance, and finally finishing with those providing only social assistance.  Establishments in this sector deliver services by trained professionals.  All industries in the sector share this commonality of process, namely, labor inputs of health practitioners or social workers with the requisite expertise.  Many of the industries in the sector are defined based on the educational degree held by the practitioners included in the industry.<br><br>Excluded from this sector are yoga and aerobics instruction in Subsector 611, Educational Services, physical fitness facilities in Subsector 713, Amusement, Gambling, and Recreation Industries, and personal fitness training services and non-medical diet and weight reducing centers in Subsector 812, Personal and Laundry Services.  Although these can be viewed as health services, these services are not typically delivered by health practitioners.
621|Industries in the Ambulatory Health Care Services subsector provide health care services directly or indirectly to ambulatory patients and do not usually provide inpatient services.  Health practitioners in this subsector provide outpatient services, with the facilities and equipment not usually being the most significant part of the production process.
6211|
62111|This industry comprises establishments of health practitioners having the degree of M.D. (Doctor of Medicine) or D.O. (Doctor of Osteopathic Medicine) primarily engaged in the independent practice of general or specialized medicine (e.g., anesthesiology, oncology, ophthalmology, psychiatry) or surgery.  These practitioners operate private or group practices in their own offices (e.g., centers, clinics) or in the facilities of others, such as hospitals or HMO medical centers.<br><br>Cross-References.
621111|This U.S. industry comprises establishments of health practitioners having the degree of M.D. (Doctor of Medicine) or D.O. (Doctor of Osteopathic Medicine) primarily engaged in the independent practice of general or specialized medicine (except psychiatry or psychoanalysis) or surgery.  These practitioners operate private or group practices in their own offices (e.g., centers, clinics) or in the facilities of others, such as hospitals or HMO medical centers.<br><br>Cross-References.
621112|This U.S. industry comprises establishments of health practitioners having the degree of M.D. (Doctor of Medicine) or D.O. (Doctor of Osteopathic Medicine) primarily engaged in the independent practice of psychiatry or psychoanalysis.  These practitioners operate private or group practices in their own offices (e.g., centers, clinics) or in the facilities of others, such as hospitals or HMO medical centers.<br><br>Cross-References.
6212|
62121|See industry description for 621210.
621210|This industry comprises establishments of health practitioners having the degree of D.M.D. (Doctor of Dental Medicine), D.D.S. (Doctor of Dental Surgery), or D.D.Sc. (Doctor of Dental Science) primarily engaged in the independent practice of general or specialized dentistry or dental surgery.  These practitioners operate private or group practices in their own offices (e.g., centers, clinics) or in the facilities of others, such as hospitals or HMO medical centers.  They can provide either comprehensive preventive, cosmetic, or emergency care, or specialize in a single field of dentistry.<br><br>Cross-References.
6213|This industry group comprises establishments of independent health practitioners (except physicians and dentists).
62131|See industry description for 621310.
621310|This industry comprises establishments of health practitioners having the degree of D.C. (Doctor of Chiropractic) primarily engaged in the independent practice of chiropractic.  These practitioners provide diagnostic and therapeutic treatment of neuromusculoskeletal and related disorders through the manipulation and adjustment of the spinal column and extremities, and operate private or group practices in their own offices (e.g., centers, clinics) or in the facilities of others, such as hospitals or HMO medical centers.
62132|See industry description for 621320.
621320|This industry comprises establishments of health practitioners having the degree of O.D. (Doctor of Optometry) primarily engaged in the independent practice of optometry.  These practitioners examine, diagnose, treat, and manage diseases and disorders of the visual system, the eye, and associated structures as well as diagnose related systemic conditions.  Offices of optometrists prescribe and/or provide eyeglasses, contact lenses, low vision aids, and vision therapy.  They operate private or group practices in their own offices (e.g., centers, clinics) or in the facilities of others, such as hospitals or HMO medical centers, and may also provide the same services as opticians, such as selling and fitting prescription eyeglasses and contact lenses.<br><br>Cross-References.
62133|See industry description for 621330.
621330|This industry comprises establishments of independent mental health practitioners (except physicians) primarily engaged in (1) the diagnosis and treatment of mental, emotional, and behavioral disorders and/or (2) the diagnosis and treatment of individual or group social dysfunction brought about by such causes as mental illness, alcohol and substance abuse, physical and emotional trauma, or stress.  These practitioners operate private or group practices in their own offices (e.g., centers, clinics) or in the facilities of others, such as hospitals or HMO medical centers.<br><br>Cross-References.
62134|See industry description for 621340.
621340|This industry comprises establishments of independent health practitioners primarily engaged in one of the following: (1) providing physical therapy services to patients who have impairments, functional limitations, disabilities, or changes in physical functions and health status resulting from injury, disease or other causes, or who require prevention, wellness or fitness services; (2) planning and administering educational, recreational, and social activities designed to help patients or individuals with disabilities regain physical or mental functioning or adapt to their disabilities; and (3) diagnosing and treating speech, language, or hearing problems.  These practitioners operate private or group practices in their own offices (e.g., centers, clinics) or in the facilities of others, such as hospitals or HMO medical centers.<br><br>Illustrative Examples:<br><br>Audiologists' offices<br>Recreational (e.g., art, dance, music) therapists' offices<br>Industrial therapists' offices<br>Speech pathologists' offices<br>Occupational therapists' offices<br>Physical therapists' offices<br><br>Cross-References.
62139|This industry comprises establishments of independent health practitioners (except physicians; dentists; chiropractors; optometrists; mental health specialists; physical, occupational, and speech therapists; and audiologists).  These practitioners operate private or group practices in their own offices (e.g., centers, clinics) or in the facilities of others, such as hospitals or HMO medical centers.<br><br>Illustrative Examples:<br><br>Acupuncturists' (except MDs or DOs) offices<br>Inhalation or respiratory therapists' offices<br>Dental hygienists' offices<br>Midwives' offices<br>Denturists' offices<br>Naturopaths' offices<br>Dietitians' offices<br>Podiatrists' offices<br>Homeopaths' offices<br>Registered or licensed practical nurses' offices<br><br>Cross-References. Establishments primarily engaged in--
621391|This U.S. industry comprises establishments of health practitioners having the degree of D.P.M. (Doctor of Podiatric Medicine) primarily engaged in the independent practice of podiatry.  These practitioners diagnose and treat diseases and deformities of the foot and operate private or group practices in their own offices (e.g., centers, clinics) or in the facilities of others, such as hospitals or HMO medical centers.<br><br>Cross-References.
621399|This U.S. industry comprises establishments of independent health practitioners (except physicians; dentists; chiropractors; optometrists; mental health specialists; physical, occupational, and speech therapists; audiologists; and podiatrists).  These practitioners operate private or group practices in their own offices (e.g., centers, clinics) or in the facilities of others, such as hospitals or HMO medical centers.<br><br>Illustrative Examples:<br><br>Acupuncturists' (except MDs or DOs) offices<br>Hypnotherapists' offices<br>Dental hygienists' offices<br>Inhalation or respiratory therapists' offices<br>Denturists' offices<br>Midwives' offices<br>Dietitians' offices<br>Naturopaths' offices<br>Homeopaths' offices<br>Registered or licensed practical nurses' offices<br><br>Cross-References. Establishments primarily engaged in--
6214|This industry group comprises establishments with medical staff primarily engaged in providing a range of outpatient services, such as family planning, diagnosis and treatment of mental health disorders and alcohol and other substance abuse, and other general or specialized outpatient care.
62141|See industry description for 621410.
621410|This industry comprises establishments with medical staff primarily engaged in providing a range of family planning services on an outpatient basis, such as contraceptive services, genetic and prenatal counseling, voluntary sterilization, and therapeutic and medically induced termination of pregnancy.<br><br>Illustrative Examples:<br><br>Birth control clinics<br>Fertility clinics<br>Childbirth preparation classes<br>Pregnancy counseling centers
62142|See industry description for 621420.
621420|This industry comprises establishments with medical staff primarily engaged in providing outpatient services related to the diagnosis and treatment of mental health disorders and alcohol and other substance abuse.  These establishments generally treat patients who do not require inpatient treatment.  They may provide a counseling staff and information regarding a wide range of mental health and substance abuse issues and/or refer patients to more extensive treatment programs, if necessary.<br><br>Illustrative Examples:<br><br>Outpatient alcoholism treatment centers and clinics (except hospitals)<br>Outpatient mental health centers and clinics (except hospitals)<br>Outpatient detoxification centers and clinics (except hospitals)<br>Outpatient substance abuse treatment centers and clinics (except hospitals)<br>Outpatient drug addiction treatment centers and clinics (except hospitals)<br><br>Cross-References.
62149|This industry comprises establishments with medical staff primarily engaged in providing general or specialized outpatient care (except family planning centers and outpatient mental health and substance abuse centers).  Centers or clinics of health practitioners with different degrees from more than one industry practicing within the same establishment (e.g., Doctor of Medicine and Doctor of Dental Medicine) are included in this industry.<br><br>Illustrative Examples:<br><br>Dialysis centers and clinics<br>Outpatient biofeedback centers and clinics<br>Freestanding ambulatory surgical centers and clinics<br>Outpatient community health centers and clinics<br>Freestanding emergency medical centers and clinics<br>Outpatient sleep disorder centers and clinics<br>Health maintenance organization (HMO) medical centers and clinics<br><br>Cross-References.
621491|This U.S. industry comprises establishments with physicians and other medical staff primarily engaged in providing a range of outpatient medical services to the health maintenance organization (HMO) subscribers with a focus generally on primary health care.  These establishments are owned by the HMO.  Included in this industry are HMO establishments that both provide health care services and underwrite health and medical insurance policies.<br><br>Cross-References.
621492|This U.S. industry comprises establishments with medical staff primarily engaged in providing outpatient kidney or renal dialysis services.
621493|This U.S. industry comprises establishments with physicians and other medical staff primarily engaged in (1) providing surgical services (e.g., orthoscopic and cataract surgery) on an outpatient basis or (2) providing emergency care services (e.g., setting broken bones, treating lacerations, or tending to patients suffering injuries as a result of accidents, trauma, or medical conditions necessitating immediate medical care) on an outpatient basis.  Outpatient surgical establishments have specialized facilities, such as operating and recovery rooms, and specialized equipment, such as anesthetic or X-ray equipment.<br><br>Illustrative Examples:<br><br>Freestanding ambulatory surgical centers and clinics<br>Freestanding emergency medical centers and clinics<br>Freestanding trauma centers (except hospitals)<br>Urgent medical care centers and clinics (except hospitals)<br><br>Cross-References.
621498|This U.S. industry comprises establishments with medical staff primarily engaged in providing general or specialized outpatient care (except family planning centers, outpatient mental health and substance abuse centers, HMO medical centers, kidney dialysis centers, and freestanding ambulatory surgical and emergency centers).  Centers or clinics of health practitioners with different degrees from more than one industry practicing within the same establishment (e.g., Doctor of Medicine and Doctor of Dental Medicine) are included in this industry.<br><br>Illustrative Examples:<br><br>Outpatient biofeedback centers and clinics<br>Outpatient pain therapy centers and clinics<br>Outpatient community health centers and clinics<br>Outpatient sleep disorder centers and clinics<br><br>Cross-References.
6215|
